台北市松山區健康路,55.25,,,13/15,4,2,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,6348.0
新北市淡水區中正路一段,82.1,52.8,17.4,15/23,1,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2198.0
台北市中山區新生北路二段,15.76,11.29,36.4,7/12,1,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,838.0
桃園市桃園區大興西路二段,70.66,55.05,19.6,1-5/5,4,2,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1888.0
新北市汐止區汐萬路一段,29.78,18.91,2.9,8/15,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,988.0
新北市中和區大勇街,47.98,33.89,,11/13,3,2,2.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2904.0
新竹市公道五路二段,106.14,61.94,11.5,12/13,3,2,3.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2980.0
新北市汐止區南興路,48.54,25.56,5.5,2/11,2,2,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1650.0
台北市北投區三合街一段,35.05,23.93,,8/9,2,2,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,2635.0
台北市北投區三合街一段,43.65,29.52,1.0,5/9,2,2,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,3318.0
台北市北投區三合街一段,61.1,40.79,1.0,5/9,4,2,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,4795.0
台北市大安區和平東路一段,36.24,23.1,10.0,2/14,2,2,2.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,4180.0
台北市松山區南京東路五段,18.44,11.33,9.5,3/7,2,1,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1490.0
台北市文山區辛亥路四段,21.91,17.58,23.0,5/7,2,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1050.0
新北市三重區三和路四段,49.11,,,10/12,3,2,2.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2568.0
台中市西屯區福安路,37.23,21.23,9.9,6/15,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1050.0
高雄市鼓山區裕誠路,58.87,35.24,3.9,7/24,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1680.0
台中市西屯區國安一路,68.42,37.46,9.5,21/22,3,2,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1588.0
新北市中和區景平路,57.37,29.48,7.2,7/25,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2720.0
新北市淡水區中山北路三段,42.28,23.1,6.0,12/13,2,2,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1198.0
新北市淡水區沙崙路,24.15,20.1,21.1,7/7,3,3,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,688.0
桃園市中壢區溪洲街,30.47,16.71,13.0,7/11,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,638.0
新北市板橋區中正路,33.07,26.14,24.0,11/15,2,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1388.0
桃園市中壢區文化二路,62.87,35.78,11.0,3/14,0,1,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1080.0
桃園市八德區公園路,70.91,64.89,21.4,1-5/5,4,3,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2988.0
台中市西屯區長安路二段,57.66,22.88,4.5,10/12,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1250.0
台中市西屯區河南路三段,28.08,13.82,11.2,3/15,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,998.0
新北市新店區僑信路,37.14,34.33,34.6,1-3/3,3,2,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1388.0
新北市鶯歌區國中街,31.92,21.6,,1/12,2,2,2.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,668.0
新北市三重區中央南路,16.34,,37.0,1/4,0,1,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,960.0
桃園市蘆竹區長春路,49.21,31.3,20.0,5/13,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,900.0
新北市三重區中央南路,18.15,18.16,37.0,2/4,2,2,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,770.0
台北市松山區八德路四段,50.84,30.2,8.8,4/14,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2788.0
台北市松山區八德路四段,39.08,36.8,36.9,2/7,3,2,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,3000.0
高雄市左營區正心街,59.18,38.26,18.8,17/29,4,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1180.0
新北市新莊區雙鳳路,26.36,20.94,24.4,11/12,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,688.0
新北市新店區安康路二段,47.0,33.33,16.5,4/14,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1550.0
台北市內湖區民權東路六段,91.56,48.33,10.9,10/10,3,2,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5980.0
桃園市中壢區中山東路三段,52.72,28.35,10.0,24/24,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,930.0
桃園市平鎮區延平路二段,37.17,18.67,6.1,8/15,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,698.0
新北市新莊區思源路,31.0,14.59,6.7,12/19,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1400.0
桃園市平鎮區延平路二段,41.31,25.06,5.5,7/15,3,2,2.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,868.0
台北市內湖區康寧路三段,49.51,29.76,18.7,10-11/11,2,3,2.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3500.0
高雄市鳳山區文德路,44.21,34.02,25.6,3/6,4,2,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,530.0
